.HEADER
..NAMES
Frequency,ONOISE
..UNITS
Hz,onoise(V/SQRT(HZ))
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
log
..FOLDER_NAME
APS_transferencia_seguidor, NOISE
.DATA
1.000000e+0,2.487745e-5
1.258925e+0,2.166761e-5
1.584893e+0,1.887193e-5
1.995262e+0,1.643698e-5
2.511886e+0,1.431620e-5
3.162278e+0,1.246907e-5
3.981072e+0,1.086027e-5
5.011872e+0,9.459051e-6
6.309573e+0,8.238629e-6
7.943282e+0,7.175675e-6
1.000000e+1,6.249871e-6
1.258925e+1,5.443522e-6
1.584893e+1,4.741214e-6
1.995262e+1,4.129523e-6
2.511886e+1,3.596758e-6
3.162278e+1,3.132735e-6
3.981072e+1,2.728585e-6
5.011872e+1,2.376583e-6
6.309573e+1,2.070000e-6
7.943282e+1,1.802978e-6
1.000000e+2,1.570413e-6
1.258925e+2,1.367860e-6
1.584893e+2,1.191446e-6
1.995262e+2,1.037801e-6
2.511886e+2,9.039884e-7
3.162278e+2,7.874501e-7
3.981072e+2,6.859592e-7
5.011872e+2,5.975758e-7
6.309573e+2,5.206110e-7
7.943282e+2,4.535936e-7
1.000000e+3,3.952430e-7
1.258925e+3,3.444440e-7
1.584893e+3,3.002256e-7
1.995262e+3,2.617426e-7
2.511886e+3,2.282595e-7
3.162278e+3,1.991359e-7
3.981072e+3,1.738149e-7
5.011872e+3,1.518119e-7
6.309573e+3,1.327052e-7
7.943282e+3,1.161282e-7
1.000000e+4,1.017618e-7

